categoria,operacao,media_filtrada,desvio_filtrado,cv_filtrado,amostras_brutas,amostras_filtradas,limite_inferior,limite_superior,q1,q3,iqr,histograma_path
τa,var_int_cte_int,9.2785451567e-06,2.5725923054e-07,0.027726,300,247,8.0921075760e-06,1.0550337124e-05,9.1456345252e-06,9.4968101750e-06,3.5117564976e-07,resultados/calibracao/hist_var_int_cte_int.png
τa,var_float_cte_float,9.7015189585e-06,1.7390700631e-07,0.017926,300,284,8.8094539255e-06,1.0645621299e-05,9.5963828000e-06,9.8586924249e-06,2.6230962485e-07,resultados/calibracao/hist_var_float_cte_float.png
τa,var_bool_cte_bool,9.3397871413e-06,1.4530498085e-07,0.015558,300,264,8.7048680249e-06,1.0019170525e-05,9.2681405250e-06,9.4558980250e-06,1.8775750004e-07,resultados/calibracao/hist_var_bool_cte_bool.png
τa,var_int_var_int,9.6441040743e-06,3.5071281819e-07,0.036366,300,253,7.9599397754e-06,1.1443820350e-05,9.4530314501e-06,9.9507286750e-06,4.9769722491e-07,resultados/calibracao/hist_var_int_var_int.png
τa,var_float_var_float,9.8131516599e-06,1.8087915709e-07,0.018432,300,277,9.0872378249e-06,1.0574893400e-05,9.7248045000e-06,9.9373267250e-06,2.1252222505e-07,resultados/calibracao/hist_var_float_var_float.png
τc,var_int_eq_cte_int,1.0985459860e-05,1.0368451777e-06,0.094383,300,272,6.9807053740e-06,1.5070332201e-05,1.0447688300e-05,1.1603349275e-05,1.1556609753e-06,resultados/calibracao/hist_var_int_eq_cte_int.png
τc,var_int_eq_var_int,1.0890032928e-05,6.0352919857e-07,0.055420,300,264,8.3437974247e-06,1.3515333025e-05,1.0560169825e-05,1.1298960625e-05,7.3879080010e-07,resultados/calibracao/hist_var_int_eq_var_int.png
τc,var_int_ne_var_int,1.0808398094e-05,1.9772693072e-07,0.018294,300,254,9.9956800250e-06,1.1720032200e-05,1.0734688100e-05,1.0981024125e-05,2.4633602497e-07,resultados/calibracao/hist_var_int_ne_var_int.png
τc,var_int_gt_var_int,1.1423511470e-05,1.5731627522e-06,0.137713,300,276,5.9343877256e-06,1.6822489599e-05,1.0600717100e-05,1.2156160225e-05,1.5554431248e-06,resultados/calibracao/hist_var_int_gt_var_int.png
τc,var_float_lt_cte_float,1.0732078469e-05,2.5445771278e-07,0.023710,300,283,9.5455593756e-06,1.1901555849e-05,1.0555272150e-05,1.0891843075e-05,3.3657092481e-07,resultados/calibracao/hist_var_float_lt_cte_float.png
τo,var_int_add_cte_int,9.9961245180e-06,3.0046094084e-07,0.030058,300,255,8.6774798760e-06,1.1401724299e-05,9.8450132002e-06,1.0234190975e-05,3.8917777474e-07,resultados/calibracao/hist_var_int_add_cte_int.png
τo,var_int_add_var_int,1.0364522547e-05,2.7768331610e-07,0.026792,300,284,9.0677667748e-06,1.1636959625e-05,1.0168849425e-05,1.0535876975e-05,3.6702755006e-07,resultados/calibracao/hist_var_int_add_var_int.png
τo,var_int_mul_var_int,1.0103990894e-05,2.0907190296e-07,0.020692,300,267,9.1058588489e-06,1.1131925901e-05,9.9741732998e-06,1.0263611450e-05,2.8943815032e-07,resultados/calibracao/hist_var_int_mul_var_int.png
τo,var_float_mul_var_float,1.0180241266e-05,7.7110182943e-07,0.075745,300,263,6.6502100503e-06,1.3935625774e-05,9.7725310749e-06,1.0813304750e-05,1.0407736749e-06,resultados/calibracao/hist_var_float_mul_var_float.png
τo,var_float_div_var_float,1.0021798510e-05,2.5015688800e-07,0.024961,300,260,9.0119914003e-06,1.1150273175e-05,9.9283978750e-06,1.0233866700e-05,3.0546882490e-07,resultados/calibracao/hist_var_float_div_var_float.png
τo,var_int_floordiv_var_int,1.0055299435e-05,2.2452677274e-07,0.022329,300,282,9.0412210998e-06,1.1076471450e-05,9.9134712499e-06,1.0204221300e-05,2.9075005004e-07,resultados/calibracao/hist_var_int_floordiv_var_int.png
τo,var_int_mod_var_int,9.9301596874e-06,2.1297544467e-07,0.021447,300,270,8.9508779761e-06,1.0929960674e-05,9.7990562752e-06,1.0081782375e-05,2.8272609970e-07,resultados/calibracao/hist_var_int_mod_var_int.png
τf,math_sqrt_float,1.2727174689e-05,2.3861933897e-07,0.018749,300,288,1.1576604300e-05,1.3901818800e-05,1.2573124800e-05,1.2905298300e-05,3.3217350001e-07,resultados/calibracao/hist_math_sqrt_float.png
τf,abs_int,1.1995202532e-05,2.8867292954e-07,0.024066,300,283,1.0463738874e-05,1.3524529301e-05,1.1775506200e-05,1.2212761975e-05,4.3725577534e-07,resultados/calibracao/hist_abs_int.png
τf,list_append,1.2593394583e-05,3.1638987719e-07,0.025123,300,256,1.1163608951e-05,1.4139261524e-05,1.2438888625e-05,1.2863981850e-05,4.2509322475e-07,resultados/calibracao/hist_list_append.png
τf,len_list,1.2500228619e-05,2.1419731723e-07,0.017135,300,275,1.1526436724e-05,1.3500552751e-05,1.2372486450e-05,1.2654503025e-05,2.8201657533e-07,resultados/calibracao/hist_len_list.png
τc,cte_int_eq_cte_int,5.5334116072e-06,7.2407556591e-07,0.130855,300,291,2.3863914497e-06,8.5471708993e-06,5.0267254996e-06,5.9068368495e-06,8.8011134994e-07,resultados/calibracao/hist_cte_int_eq_cte_int.png
τc,var_float_eq_var_float,6.8650744388e-06,4.1648577037e-07,0.060667,500,486,5.1594062101e-06,8.5019530750e-06,6.5919262950e-06,7.0694329900e-06,4.7750669499e-07,resultados/calibracao/hist_var_float_eq_var_float.png
τo,var_float_add_var_float,6.6559274248e-06,7.9555981699e-07,0.119527,500,495,3.3454189450e-06,9.8146560550e-06,6.1179491350e-06,7.0421258650e-06,9.2417673000e-07,resultados/calibracao/hist_var_float_add_var_float.png
τo,var_int_sub_var_int,6.5307225413e-06,5.5069108953e-07,0.084323,500,475,4.2702120251e-06,8.7107960048e-06,6.1733194450e-06,6.8076885849e-06,6.3436913995e-07,resultados/calibracao/hist_var_int_sub_var_int.png
